Head,Message,Type
," India’s Minister of State for AYUSH Shripad Naik held a press conference claiming that Prince Charles followed the rules of Ayurveda, due to which he is recovering so soon.",Fake
, “Only India can resist CoronaVirus.”- Saudi Crown Prince Mohammad Bin Salman.,Fake
, India has decided to extend its financial year to July 1 due to the current COVID-19 outbreak.,Fake
, Staff of Gold Coast Hospital in Australia has gifted a volleyball to Tom Hanks in quarantine.,Fake
, Chinese converting to Islam after realising that no muslim was affected by #coronavirus #COVD19 in the country.,Fake
, “WORLD HEALTH ORGANISATION PROTOCOL  &PROCEDURE OF LOCKDOWN PERIODS FOR CONTROLLING  ON MOST DANGEROUS VIRUS,Fake
, Coronavirus patients in China are being caught by officials on a highway.,Fake
, A video allegedly showing Canadian Prime Minister Justin Trudeau’s wife in a hospital bed urging people to stay home to avoid ending up seriously ill with the novel coronavirus has been shared thousands of times on Facebook and Twitter.,Fake
, Italian PM said that the country has surrendered to the COVID-19 pandemic.,Fake
, Coronavirus was found in meat (mutton).,Fake
, China asks for permission to kill 20000 infected cases.,Fake
, Sophie Trudeau is sharing her COVID-19 experience.,Fake
," People of the Muslim community have prohibited visiting Mecca Medina to avoid the outbreak of coronavirus, but people of Sanatan religion are playing Holi at the crematorium of Kashi Vishwanath as a pyre.",Fake
, Image of the people who died of coronavirus in Italy.,Fake
, Prince Charles infected with coronavirus after meeting Indian singer Kanika Kapoor.,Fake
, COVID-19 passengers being disembarked at Senegal airport.,Fake
, Books Predicted The coronavirus Before it happened.,Fake
, WHO declared COVID-19 to be the abbreviation for China Outbreak Virus In December 19.,Fake
, Inhalation of hot steam can kill Novel Coronavirus.,Fake
, COVID-19 patients will not show symptoms for the first 14 days.,Fake
, New confirmed cases of COVID-19 in Kolkatta reported by Press trust of India.,Fake
, Indian State of Gujarat’s government constructed hospital for COVID-19 patients with 2200 beds in just 6 days.,Fake
, Garlic water prevents the novel coronavirus as proved by an old Chinese doctor.,Fake
, A new born baby suffering from birth defects predicted that using Turmeric can cure Coronavirus in India.,Fake
, Italians threw away their currency on the streets due to COVID-19 deaths.,Fake
, Tamil Nadu Govt ordered to re-open TASMAC bars.,Fake
, Lockdown in India extended till May 8th.,Fake
, Homeopathic drug ‘Arsenicum album 30’ can be used to prevent coronavirus.,Fake
, A Shaheen Bagh protestor in India was claimed to have coronavirus.,Fake
, Indian Government snooping messages over social media and all social media platforms wll be monitored for COVID-19 messages,Fake
, Hot air application through hairdryer will beat coronavirus.,Fake
," Rotis hailing PM Modi shared in Madhya Pradesh, India during lockdown.",Fake
, Sick COVID-19 patients at the airport runway in Senegal.,Fake
," A Pakistani doctor, Dr Osama Riaz’s last message for you (while taking his last breath).",Fake
, Image of bakery items with the WHO logo and a message which given the impression that WHO had advised the public not to consume bakery products amidst COVID19 concerns.,Fake
," Trupti Desai, a well known social activist from India, was arrested for illegally buying liquor during the Covid19 lockdown.",Fake
," Indian Army has built a 1,000-bed hospital in Rajasthan in eight days for the treatment of COVID-19.",Fake
, Images of public beating police officers enforcing lock down in the indian state of U.P,Fake
," Italian police are being brutal on people not following lockdowns, India should follow.",Fake
," Recently, Petrol companies have reduced Rs. 6.40 on petrol and on Diesel Rs. 6.80.",Fake
, Indian Ministry of Health and Family Welfare as issued an office memorandum declaring compulsory holiday in four Indian states.,Fake
, Hot water gargle can prevent coronavirus.,Fake
, The viral image is of a doctor couple in Italy who gave their lives treating coronavirus patients.,Fake
," Photo posts claiming a person committing suicide by jumping from a building in Italy, Doctor couple in a Italian hospital few hours before their death and chaos in an Italian hospital amid COVID19",Fake
, Demon creature flying above a Church in Italy.,Fake
," Coronavirus can be cured by sniffing clove and camphor and by drinking water, the virus will go to the stomach and the acid in the stomach will kill the virus.",Fake
, Hot air from hair dryers can kill Coronavirus.,Fake
, COVID-19 was known to humans before its outbreak in 2020.,Fake
, The Netflix Korean drama My secret terrius predicted the Coronavirus outbreak in 2018.,Fake
, Holding your breath can test for COVID-19.,Fake
, New Confirmed Case Of coronavirus In The Macarthur Region of Australia!,Fake
, Eating salt on the onion will eliminate the coronavirus.,Fake
, Video shows reciting Namaaz and Quran can only be the treatment of pandemic COVID-19.,Fake
, Indian Army has built 1000 Bed quarantine facility for COVID-19,Fake
," Finally India got its Coronavirus Dashboard. This is the official website for CORONA updates. This website is being updated every 4 hrs. You can scroll down for more details, you can know more about coronavirus outbreak in your state by placing your finger on your state on the map.",Fake
, India spraying pesticides at night to prevent COVID-19.,Fake
, Central government has announced blanket holiday for schools/colleges in 4 states in India.,Fake
, Pigs mulled in China blamed for coronavirus.,Fake
, Facebook post claimed that the pigs are being burnt alive in China to control Coronavirus.,Genuine
, Video of police killing COVID-19 affected people in China.,Fake
, There is now a COVID19 cure from USA.,Fake
, Amid COVID19 Lockdown Food being distributed in Indian State of Tamil Nadu.,Fake
, Celebrities spreading misinformation about coronavirus and the Janata curfew in India.,Fake
, Video of goats affected by Coronavirus.,Fake
, A 20-second clip shows a burqua clad woman having difficulty breathing.,Fake
, Gargling with lukewarm water mixed with salt/vinegar will remove coronavirus.,Fake
, Coronavirus Discovered In Broilers Chicken.,Fake
," A purported advisory has been shared repeatedly in multiple Facebook, Twitter and WhatsApp posts that claims a disinfectant will be sprayed into the air overnight in India in an effort to kill the novel coronavirus, COVID-19. The posts urge residents to remain indoors during the spraying.",Fake
," Indian Government Has Issued A Guideline To Monitor Citizens Activity, their call and social media handles will be under surveillance.",Fake
, Sitting in the sunlight will help cure coronavirus.,Fake
, Image of Kerala CM Pinarayi Vijayan following PM Modi’s appeal to light lamp on 5th April 2020.,Fake
, Football player Cristiano Ronaldo turned all his hotels into hospitals to help coronavirus patients and is paying doctors and the staff.,Fake
, Indian cricketer Sachin Tendulkar asked for meat shops to be banned in lieu of COVID-19.,Fake
, The video shows Muslims licking plates and spoons to spread the coronavirus.,Fake
, Actor Vijay donated 3 billion (300 crore) rupees for coronavirus relief.,Fake
," The Disaster Management Act 2005 is going to be implemented in India, according to which no citizen is allowed to post any update or share any forward related to COVID-19.",Fake
," A viral video showcasing an emergency treatment of a COVID-19 patient in Maharasthra, an Indian State. The video is shared in the names of different cities of Maharashtra.",Fake
," Reliance Jio, one of the biggest telecom networks in India is providing Internet for free during COVID-19",Fake
," In the 30-sec viral video, a man lifts his shirt and challenges police officer who is pointing gun at him. Another police officer kicks the man from behind, pins down him on the road and makes arrest. The text overlaid on the video reads “Italy says lockdown they mean it”.",Fake
," Image of deers roaming in Pudukkottai, Tamil Nadu.",Fake
, Image of dead bodies of coronavirus victims in Italy.,Fake
," Images showing vaccines for Coronavirus have already been discovered, were patented and will be readily available.",Fake
, Photos of Italian man committing suicide after he lost his entire family to COVID-19.,Fake
, A video purporting that an attack on doctors was avenged by police men.,Fake
, Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.,Fake
, Muslims Intentionally Licking The Cutlery And Plates to spread COVID-19.,Fake
, Gargling With Warm Salt Water Can Save From coronavirus.,Fake
, Coronavirus has gripped Italy with nobody willing to carry corpses off Italy’s streets.,Fake
, Another new disease called ‘Hanta virus’ in China.,Fake
, Broiler chickens were found to have coronavirus in Mumbai.,Fake
," An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.",Fake
," Video of bats found under the tiles of many roofs in Hubei, China. They were the source of coronavirus.",Fake
, Banglore Municipal body (BBMP) will be spraying medicine in the air to kill coronavirus.,Fake
, Aajtak news channel has run a news claiming that consuming a herbal plant ” Tulsi” will cure Coronavirus.,Fake
, Indian Government and World Health Organization advised people to not purchase colours from China for Holi.,Fake
, Photo of Deer on Ooty-Coimbatore road during the current lockdown (COVID-19).,Fake
, A video shows Chinese police crackdown on suspected COVID-19 patients.,Fake
, Oman is releasing special chemical into the sky to eradicate coronavirus with military helicopters.,Fake
, China Seeks Court’s Approval To Kill 20000 coronavirus Patients.,Fake
," WHO has said, do not eat Cabbage as it will increase the chance of Coronavirus infection.",Fake
, Video of whales spotted near Bombay High,Fake
, China is supplying Quran to people to read after the Coronavirus outbreak.,Fake
," Aaj Tak telecasted a news in which the Chinese PM said, ‘Reading Quran and offering namaz is the only cure for COVID-19’.",Fake
," A viral video showing some men assaulting a policeman is being shared with the claim that it is from Agripada, Mumbai (INDIA).",Fake
, News channels suggests drinking tulsi and noni juice will help prevent the Novel coronavirus.,Fake
, A video has been viewed thousands of times on Facebook and Twitter alongside a claim that it shows bodies being removed from a hospital in Iran during the novel coronavirus pandemic.,Fake
, Janta curfew or nation wide for 14 hours will break the chain of coronavirus spread and see reduction of 40 per cent cases.,Fake
, Bombay High Court is extending Maharashtra’s lockdown to April 31.,Fake
, Saint Luke’s Hospital of USA says that consuming alcohol can reduce the risk of COVID-19.,Fake
, WHO Has Issued Advisory Against Buying Of Holi Colors From coronavirus-Hit China.,Fake
, With self-checkup you can find out if you are infected with coronavirus.,Fake
, Marathi newspaper reports conspiracy theory of Coronavirus being a bioweapon.,Fake
, Audio clip of a conversation claiming that Government of India will announce shutdown of the country in the coming days from 15 April to 15 June in the wake of Coronavirus outbreak,Fake
, Indian Police personel beaten by a person while enforcing lockdown. Claim made through an image.,Fake
," The Ethiopian Airlines flight from Italy this evening to Addis Ababa airport. Most of the passengers are infected with the virus, and there is no strength except in God.",Fake
, Can dettol kill coronavirus?,Fake
, A video showing a playful deer on the beach is claimed to be from an Indian village during a lockdown.,Fake
, This photos show Indians bathing in cow dung to prevent infection.,Fake
, Over 500 years of Adhan (The Islamic Call to Prayer) ban lifted in Spain amid coronavirus.,Fake
, Bollywood superstar Aamir Khan donated Rs. 250 crore to tackle the novel coronavirus outbreak.,Fake
," A purported advisory has been shared repeatedly in multiple Facebook, Twitter and WhatsApp posts that claims a disinfectant will be sprayed into the air overnight in India in an effort to kill the novel coronavirus, COVID-19. The posts urge residents to remain indoors during the spraying.",Fake
, This is the video of Conress leaders Rahul and Priyanka Gandhi breaking coronavirus lockdown by stepping out.,Fake
, Inhalation of hot steam can kill Novel Coronavirus.,Fake
," A video has been viewed thousands of times in multiple posts on Facebook, Twitter and YouTube which claim it shows Chinese police arresting people infected with the novel coronavirus, COVID-19.",Fake
, Multiple posts on Facebook and Twitter claim the World Health Organization (WHO) has warned against eating cabbage during the novel coronavirus pandemic.,Fake
, Indian Singer Kanika Kapoor met Prince Charles after which he tested positive for coronavirus.,Fake
, A video showing a pile of corpses in Italy.,Fake
, WHO has released “protocols and procedures” of lockdown periods to fight Covid-19.,Fake
, New vaccine can help cure coronavirus in three hours.,Fake
, Video is of Canadian PM Justin Trudeau’s wife who is suffering from COVID-19.,Genuine
, Hot air application through a hairdryer on the face to heat up nostrils and the sinus kills the Novel coronavirus.,Fake
, Shopping malls crowded in Italy during the pandemic.,Fake
, Video of police in China taking into control suspected COVID-19 patients in the country.,Fake
, An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,Fake
, Indian Home Minister Amit Shah claimed to be infected COVID-19.,Fake
, Viral video shows a man having great difficulty breathing. Even the medical team keeps a safe distance from this man. These videos are shared as patient suffering from COVID-19.,Fake
, Pope Francis contacted coronavirus.,Fake
, Video of the new hospital set up by China for coronavirus patients.,Fake
, Oman is releasing pesticides in the air through helicopters to eliminate coronavirus.,Fake
, Muslim youth is spreading COVID-19 by licking plates in Nizzamuddin Markaz in India.,Fake
, AIIMS (Indian medical institute) team has said that Toddy has medicinal properties to cure coronavirus.,Fake
, Donald Trump announced that Roche will launch a vaccine for coronavirus next Sunday.,Fake
, One can get free masks from the government to fight coronavirus by filling this form in the web link.,Fake
," WHO reported that Coronavirus lasts upto 8 hours on cabbages thus, cabbage consumption should be restricted.",Fake
, People burning candles on top of their head after PM Modi’s nationwide appeal to light a candle on 5th April 2020 at 9pm for minutes.,Fake
, Ministry of Home Affairs in India has directed people to not post anything related to coronavirus.,Fake
, Image of Indian police officer beating street children for not abiding lockdown.,Fake
, People in Wuhan locked inside their houses trying to escape building fire.,Fake
, A picture claiming that an Italian man committed suicide after his whole family succumbed to COVID-19,Fake
, Video of American President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID-19.,Fake
, News about COVID-19 can only be shared after seeking the government’s permission.,Fake
, Coronavirus found in Broiler Chicken.,Fake
, Staff of two Mumbai hotels have COVID positive cases.,Fake
," After husband tested positive for coronavirus, wife fled from Bangalore to Agra in India.",Fake
, European Health Organization (EHO) announced that eating beaf can cure coronavirus.,Fake
, Government to spray medicine in the air overnight to kill coronavirus.,Fake
, Drinking bitter gourd juice cures Coronavirus,Fake
, Recent photo of PM Modi visiting a Church and offering prayers to save the country from the Coronavirus outbreak.,Fake
, Indian Home ministry declares posting about COVID-19 on WhatsApp groups a punishable offence.,Fake
," Curfew in Janta, India will help break the chain of transmission.",Fake
, Russia has allegedly unleashed over 500 lions in order to ensure that people stay inside their houses.,Fake
," Due to the fear of Coronavirus, Muslims in China are offereing Namaz in the open street.",Genuine
, Russian government has unleashed lions on the streets to inpose public curfew.,Fake
," Seeing the rise of novel coronavirus in India, the World Health Organization (WHO) has recommended the government of India to lockdown the country from April 15 to June 15.",Fake
, People of Italy throwing money on the streets as they felt that the money couldn’t save them from COVID-19.,Fake
, Image showing Indian Political party (DMK) workers demonstrating with Go Corona Back balloon.,Fake
, Italian doctor couple disgnosed with coronavirus.,Fake
, Brazilians observed Indian Prime Minister Narendra Modi’s “lights out” call.,Genuine
, Video of Muslims gathered on roads despite the curfew to curb the spread of Coronavirus.,Fake
, BBMP (Bruhat Bengaluru Mahanagara Palike) will be spraying medicine in the air after 10 PM tonight in order to kill COVID-19.,Fake
, Xi Jinping has said that Chinese scientists found cure for coronavirus in cow urine.,Fake
, Andhra Pradesh Chief Minister YS Jagan Reddy has claimed that ‘Paracetamol’ is the only medication for coronavirus.,Fake
, Italy’s Prime Minister Giuseppe Conte broke down publicly due to the ongoing coronavirus pandemic.,Fake
, Rapper Eminem contacted coronavirus.,Fake
, Indian Actor Kamal Hassan put under quarantine.,Fake
, Indian State of Kerala’s government is paying news channels to telecast CM’s interview.,Fake
, Chinese converting to Islam after realizing that no Muslim was affected by COVD19 in the country.,Fake
," As per Home Ministry of India, sharing information related to the coronavirus is now a punishable offense.",Fake
, Images of money thrown on streets by helpless Italians.,Fake
, A recent video of Coronavirus patients at an airport in China and gauge how serious the situation is.,Fake
, 1. Chinese Prime Minister Li Keqiang visited a mosque and seek protection to the country from coronavirus. ,Fake
," Pakistan’s Dr. Usama Riaz, who contracted coronavirus while treating patients had left a before he died.",Fake
, People shouting ‘Allahu Akbar’ in Europe after the Coronavirus outbreak.,Fake
, Telangana Ministry in India distributed homeopathic tablets claimed to prevent COVID-19.,Fake
, A line of coffins suggesting they are from Italy currently.,Fake
," A photo of a man and woman embracing has been shared hundreds of times on Facebook and Twitter alongside a claim that it shows two Italian doctors who died of a novel coronavirus, COVID-19, after contracting the disease from the patients they treated.",Fake
, Image of the people who died of Coronavirus in Italy.,Fake
, Coronavirus will be cured within 2 hours by drinking bitter gourd juice.,Fake
, Drinking alcohol kills the coronavirus.,Fake
, Weed kills coronavirus.,Fake
, This image is related to the coronavirus outbreak.,Fake
, Inhalation of steam from hot water kills COVID19,Fake
," 7 children die of coronavirus with 1 week in Karimganj (Assam, India).",Fake
, Bill Gates wrote a letter where he says coronavirus has a “spiritual purpose” and is “a great corrector”.,Fake
, President Xi Jinping visits Masjid to pray for the coronavirus vicitims.,Fake
, Photo of the prime minister of Italy crying and expressing his helplessness that he couldn’t save coronavirus patients in Italy.,Fake
," “Ministry of Health ITALY released a small video, HOW the virus spreads!!!… BEST VIDEO. Please see ..how innocently it spread. SOAP is the remedy CLEAN/ WASH ur Hands always”",Genuine
, This is a picture of the old city in Hyderabad (India) today despite the lockdown.,Fake
, India has developed treatment for coronavirus.,Fake
," Pakistan’s leading scholar Mufti Naeem suffers from coronavirus. A few days ago, he refused to close madrasas and mosques.",Fake
, Coronavirus patient arrested in Punjab,Fake
, Mustard oil prevents a person from getting infected with COVID-19.,Fake
, PM Modi on 2nd April ’20 announced extension of nationwide lockdown till 4 May 2020.,Fake
, A video claiming bodies packed in body bags are being dumped in mass graves in Italy and Spain’.,Fake
, Lemon bicarbonate as tea and green tea can treat and prevent coronavirus.,Fake
, Video of the new hospital set up by China for coronavirus patients.,Fake
, Photo of the prime minister of Italy crying and expressing his helplessness that he couldn’t save coronavirus patients in Italy.,Fake
, Multiple posts on Facebook and Twitter claim the World Health Organization (WHO) has warned against eating cabbage during the novel coronavirus pandemic.,Fake
, Chinese President Xi Jinping visited Muslims to understand why Muslims are not contracting COVID-19.,Fake
, Indian President Ramnath Kovind pouring gaumutra (cow urine) on globe to prevent coronavirus.,Fake
, China is seeking court’s approval to kill 20000 people positive with coronavirus,Fake
, No more deaths from COVID-19 as Israel scientists have discovered a vaccine for COVID-19.,Fake
, 2000 people died of COVID-19 in one day (on March 15) in France.,Fake
, Tokyo Olympics logo has been redesigned on the theme of social distancing.,Genuine
, A video of bat infested roof claimed to be from Hubei-china claiming it to be the source of coronavirus.,Fake
, The lockdown due to Coronavirus has led to the reemergence of a large flock of birds at the riverfront in Ahmedabad.,Fake
," The Russian president, Putin, has left 800 lions outside to make people stay in their homes.",Fake
, Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.,Fake
, Home Ministry of India have issued an order that sharing of any news related to Coronavirus is an punishable offense under the IT Act.,Fake
, An image of a couple who are claimed to be doctors and have lost their lives due to Coronavirus,Fake
, Aaj Tak channel telecasted a program that said drinking alcohol or smoking weed can cure COVID-19.,Fake
, Video of Muslims applying their saliva to plates and spoons to spread the coronavirus disease.,Fake
," Donald Trump said, “People are dying who have never died before”",Fake
," Videos stating that 25,000 Chinese are being killed.",Fake
, A video shows man claiming to be of Tablighi Jamaat (a Muslim group) spitting on police when they were putting him into quarantine.,Fake
, Prince Charles tested positive for COVID-19 after meeting Bollywood singer Kanika Kapoor.,Fake
, Weed (cannabis) cures coronavirus.,Fake
," Pigs burried in china, is it because of coronavirus?",Fake
, Can garlic soup cure coronavirus?,Fake
, Indian State of Kerala’s Opposition leader writes to Chief Minister Pinarayi Vijayan to adopt methods to save only those with stronger immunity from COVID19 infection.,Fake
, Air India is operating evacuation flights to bring back stranded Indians from London.,Fake
," 18 nations, including the US and the UK, want Indian Prime Minister Narendra Modi to be the leader of the task force to combat the coronavirus pandemic.",Fake
," Disaster management act has been implemented, no citizen is allowed to post any update on coronavirus.",Fake
, Effects of coronavirus on an affected persons lip.,Fake
, Clorox Already Knew About coronavirus And coronavirus Isn’t New Virus.,Fake
, Bats responsible for the outbreak of coronavirus originated from the rooftop of a house in Wuhan.,Fake
," More than 35 million people in China are now on a travel lockdown. More than 2700 have been sickened, and 81 have died.",Fake
, Italians bidding goodbye to the world because of coronavirus.,Fake
, Rubbing mustard oil on your nostrils can prevent Coronavirus.,Fake
," Kerala has asked NABARD for a loan of Rs 20,000 crore to deal with COVID-19.",Fake
," While coronavirus tests in other countries are conducted for free or at nominal charges, in India, it costs Rs 4,500",Fake
, People In Wuhan Locked inside their houses by the Chinese goverment.,Fake
, People in Italy are throwing money on the road as they are saddened by the fact that all the money in the world could save their dear ones.,Fake
, Indian state of Madhya Pradesh’s Goverement have issued order of shoot at sight due to failure at lockdown implementation.,Fake
, An image of arms burned for allegedly using gel alcohol to disinfect.,Fake
, COVID-19 Breeds Rapidly In Toilet Paper.,Fake
, Look at the condition of of a Karimnagar person who is affected with coronavirus.,Fake
, Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.,Fake
, Saddam Hussein in 90s talking about coronavirus to his cabinet and army that America has threatened him to spread this virus if he doesn’t follow their command.,Fake
, Doctored image of Donald Trump shared claiming he asked people to chant Hare Krishna Hare Rama.,Fake
, Indian yogu guru Baba Ramdev has been infected with coronavirus.,Fake
, China is planning to kill coronavirus patients.,Fake
, Indian Telecom company Jio announced a free recharge worth Rs 498 for all Indian citizens during Coronavirus lockdown,Fake
," Office Memorandum of the Indian Ministry of Health & Family Welfare declaring holidays to the states of Maharashtra, Gujarat, Uttar Pradesh and Sikkim in the wake of COVID-19.",Fake
, Pictures of people stranded on hospital beds claimed to be Italy not coping with the pressure of COVID-19 cases and that India should learn from Italy’s mistakes and not step out of the house in the 21 days lockdown,Fake
," Man Critical With Novel coronavirus In Barhalganj, India.",Fake
, Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.,Fake
," A photo has been shared hundreds of times in multiple posts on Facebook and Twitter alongside a claim it shows the bodies of people who died in Italy after they became infected with the novel coronavirus, COVID-19.",Fake
, UNICEF releases coronavirus prevention guidelines.,Fake
," Timings for sale of milk, newspapers, grocery and medical stores have been issued by the Mumbai Police commissioner.",Fake
, Video of Italian police taking down a man who has come on to the streets despite lockdown in the country.,Fake
," A herd of deer shared as them flocking out in Tamil Nadu, India due to the lockdown of the Coronavirus",Fake
, Beware of food delivery apps in India as they blow into the food before packaging it.,Fake
, Image of police punishing people in Indian state of Assam for violating the curfew.,Genuine
, Video of a person infected with coronavirus comitting suicide in New York.,Fake
, Indian Social Activist Trupti Desai arrested for buying liquor during Covid 19 lockdown.,Fake
," China court gave permission to kill 20,000 patients affected with coronavirus.",Fake
," Disaster Management Act has been implemented across India. As per the act, apart from the government departments, no other citizen is allowed to post or share any forward related to the novel coronavirus.",Fake
, A video of a man committing suicide by jumping from a hotel in Italy as his entire family died due to coronavirus.,Fake
, Videos of patient gasping for breath shown as patient from India.,Fake
," Recording of a conversation where one claims to be a friend of WHO’s India Director’s brother- Saurabh, who gave him information that India will go into a complete lockdown mode from 15th April to 15th June 2020.",Fake
, Popular Cardiologist Devi Shetty talking about symptoms of COVID-19.,Fake
," Stones were hurled at police in Gomatipur, Ahmedabad (India) when they went to search suspects who attended the Nizamuddin Markaz event in Delhi.",Fake
, India TV telecasted news that Bollywood Actor Shahrukh Khan donated 450 million (45 Crore) Rupees to Pakistan Oil tanker blast victims.,Fake
, Chinese PM visited mosque following coronavirus outbreak.,Fake
, The bodies of people infected with coronavirus are lying on the road of Italy. No one is carrying them due to the risk of infection.,Fake
, This coronavirus-infected patient reached to Dr. Vinod Kumar but he wasn’t given the treatment. He was later referred to Bhagalpur. It further states that one should avoid meat and fish for 3 months and wear mask to protect yourself from coronavirus.,Fake
, Video of passengers infected with Coronavirus on an Ethiopian Airlines flight from Italy that reached Addis Ababa airport.,Fake
, Runny nose and coughing sputum suggest that one does not have COVID-19. They are not symptoms of COVID-19.,Fake
, Woman burned her hands while putting on the stove due to high alcohol content in hand sanitiser.,Fake
, A video that shows the dead bodies being taken away in a convoy of cars is from a hospital in Iran.,Fake
, Gargling warm water with either salt or vinegar can eliminate coronavirus.,Fake
," Tea can cure COVID-19 patients suggested by China’s whistleblower doctor Li Wenliang, the news was published by CNN.",Fake
," An audio clip claiming to be of renowned heart surgeon Dr Devi Shetty is going viral on Facebook, Twitter, and WhatsApp.",Fake
, Video of American President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID-19 next Sunday.,Fake
, Man contracts COVID-19 by eating mutton.,Fake
, Audio claiming India would be put under a complete lockdown.,Fake
, The Indian Home Ministry considers posting anything about Coronavirus as a punishable offence.,Fake
, Alcohol kills coronavirus,Fake
," A video is doing the rounds in already flooded WhatsApp groups. It is being claimed that the lady shown in the video is the wife of Canada’s PM Justin Trudeau. In the viral video, a lady can be seen describing her improved condition because of medication and also warns to not take chances.",Fake
, Image of mother unable to feed her suckling as she battles COVID-19.,Fake
, Dr Naresh Trehan has said that the Indian government is going to declare a national emergency.,Fake
," A photo of a man and woman embracing has been shared hundreds of times on Facebook and Twitter alongside a claim that it shows two Italian doctors who died of a novel coronavirus, COVID-19, after contracting the disease from the patients they treated.",Fake
, Indian prime minister Modi announced internet ban due to the spead of misinformation regarding COVID19,Fake
, Coronavirus found in Broiler Chicken,Fake
, Precautionary measures suggested by the UNICEF.,Fake
, The World Health Organization has prescribed a lockdown strategy to tackle COVID-19 which India is following.,Fake
, Israel and USA have come up with a vaccine.,Fake
, Italians throwing money on streets amidst COVID19.,Fake
, Bitter gourd juice can cure Coronavirus.,Fake
, An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,Fake
, A police commissioner from Mumbai has asked essential services to be available at certain hours.,Fake
, China needs coronavirus SWAT (special weapons and tactics) police team to arrest this drop dead virus victim.,Fake
, Amitabh Bachchan gave 500 million rupees to the Mumbai government to fight the coronavirus.,Fake
, Garlic water can cure coronavirus.,Fake
, Photo of a vaccine developed by US scientists for COVID-19.,Fake
," Goats in Ajmer, Rajasthan were found to be COVID-19 positive.",Fake
, Actor Vijay’s father criticized government for enforcing curfew to abate COVID-19.,Fake
, Russian president using lions to ensure people stayed indoors in Russia.,Fake
, The viral text message claims that the chemical substances (methylxanthines) required to cure COVID-19 can be found in tea. Dr. Li Wenliang had found this cure while researching about coronavirus before his death.,Fake
, Tabligi Jamat members in India are licking plates to spread COVID-19.,Fake
," In surgical masks, the white filter side is supposed to be worn outside and the colored on the inside.",Fake
, Image attributed to Italian Prime Minister suggesting Italy has lost control.,Fake
, A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book.,Fake
, Chennai municipal corporation has asked all vegetable and fruit markets to shut down.,Fake
, Man is spitting on police officer to spread COVID-19 in India.,Fake
, An Indian social activist was arrested when she tried to buy liquor during the lockdown period.,Fake
, A video of a policeman taking down a man wandering during ‘lockdown in Italy’.,Fake
, Photo of a vaccine developed by US scientists for COVID-19.,Fake
, Italian PM said that the country has surrendered to the Covid-19 pandemic,Fake
, Sri Lankan police made an announcement stating that citizens are not allowed to post any update or share any forward related to Coronavirus and it being punishable offence.,Fake
, News channel graphic stating that the Indian lockdown is to be extended to May 4.,Fake
, Indian City Bangalore Muncipal Corp. requested people to stay at home and lock down houses as they will be spraying medicine to kill Coronavirus.,Fake
, Image of coronavirus victims in China.,Fake
, Hindu God Ganesha’s idol placed and worshiped inside an Italian Church.,Fake
, Gargling with hot water cures Coronavirus says a doctor from Mumbai’s COVID-19 hospital.,Fake
, Doctors and nurses in Italy are dying and are lying dead on the ground due to the Coronavirus outbreak.,Fake
, Coronavirus is found in Broiler Chicken.,Fake
," Indian Businessman, WIPRO Chairman, and philanthropist Azim Prem donated 50,000 Crore to fight the COVID-19 outbreak in India.",Fake
, Video shows Chinese police crackdown on coronavirus patients.,Fake
, Video of a family died due to novel coronavirus.,Fake
, A picture of a Dettol disinfectant spray is being shared online in which the label on the back of a bottle shows the product claiming to have been proven to ‘kill coronavirus’ and that they knew about the new strain since 2019.,Fake
, Weed kills coronavirus.,Fake
, Fake News Of coronavirus Infecting Boiler Chicken.,Fake
, Dettol sanitizer can kill coronavirus. The company knew about the coronavirus back in 2019.,Fake
," According to a report by the WHO, coronavirus lives the longest in the cabbage layer. In the rest of the place the virus is staying for 9-12 hours, whereas in cabbage, this virus is staying for more than 30 hours. People of all cities are requested not to eat cabbage.",Fake
," If you can hold your breath for more than 10 seconds, you are not infected by coronavirus.",Fake
, Picture of people lying on the street is being shared online with a caption that implies that the picture is related to the recent outbreak of coronavirus in China.,Fake
, The Indian Army has been called to control seven areas in Mumbai that are nor following the 21 day lockdown and are out of the Mumbai police’s control.,Fake
, President of Italy crying because of coronavirus pandemic.,Fake
, Indian Home Secretary warning against those who post about Coronavirus on Whatsapp will be prosecuted except for government agencies.,Fake
, Pakistan’s PM Imran Khan tested COVID-19 positive.,Fake
, Video of Police strictly implementing lockdown in Spain.,Fake
, Image of Pakistani Prime minister Imran Khan and Chinese president Xi Jinping in which Imran Khan is wearing mask.,Fake
